author,message,badges,emotes
ireeeeee_lacustree,lollo,"['subscriber', 'share_the_love']",[]
dado0713,questo è lollo,[],[]
komallllacustre,la fine di lollo,[],[]
greta04www,ew,['subscriber'],[]
shiftyzaga,chat real o ai,[],[]
ricc101yt,povero lollo,[],[]
adriankiller_1990,è per te,[],[]
jessica_dislessicustre,perché,"['subscriber', 'bits']",[]
la_raccheta,il bro è superman,[],[]
ilduro_lacustre,what the hell,[],[]
itss_ilary,ma,"['subscriber', 'premium']",[]
kemuliaan,è editato ho visto prima loriginale hahaha,[],[]
ninja_leo12345,lunica tipa che posso avere,[],[]
idrislacustre_,huh,['bits'],[]
brisingr_100,wtf,['subtember_2024'],[]
giady19_00,si per forzaa,[],[]
emalacustrino,ma,"['subscriber', 'premium']",[]
matynero35,serve a te,['subscriber'],[]
sofiachirchio201948,lollo,[],[]
its_giuu09,oh no,['subscriber'],[]
flad15,è un robot,[],[]
coolingpanda180,mh lia,['share_the_love'],[]
godzillavskingkong_8374,what the hell,"['subscriber', 'premium']",[]
dania_lacustre17,sisi,"['subscriber', 'share_the_love']",[]
txt_52019,si,['twitch_recap_2024'],[]
ayoitsscece,ogni girone l,"['subscriber', 'bits']",[]
biancalacustre,cè puzza di edit,['bits'],[]
jessica_dislessicustre,si di,"['subscriber', 'bits']",[]
mynameisgioieutumlacust17,ai generata da ai,[],[]
myselfaury,a che ora gta,[],[]
zuzu_ita,i sogni di lollo,[],[]
adriano29ct,noi tra qualche anno,[],[]
bute_op,ia,"['subscriber', 'premium']",[]
chris382b,sei te lollo,[],[]
thutmose_3,sì,[],[]
xxsamrinaaaxx,che limone,[],[]
simplygaiaa,madonna,['hype_train'],[]
forzalakemaggiorelollone,sarà per forza grande il buco e quindi sembra grande,"['subscriber', 'premium']",[]
theitaprime,ciao lollo sono entrato ora,[],[]
ghostgirl_g59,nah tf,['subscriber'],[]
jessica_dislessicustre,menomale,"['subscriber', 'bits']",[]
itsnoexx_lacustre,ti servirebbe,['bits'],[]
cloeutum_lollo_itznico,jahshss,"['subscriber', 'premium']",[]
sha_x777,ahahahahhahaha,[],[]
executore09,il bro di è fidanzato con robocop,['no_video'],[]
giorgiasssvolpi467,la faccia di lollo è la mia faccia in questo momento,[],[]
ginnypentola,ciao,[],[]
zalexofficial,si,"['subscriber', 'bits']",[]
maioneseblu006,contento lui,[],[]
anaa23333,ha comunque una vita sentimentale meglio della mia,[],[]
vincy2507,manco questa fr,[],[]
cloeutum_lollo_itznico,ciao lollo,"['subscriber', 'premium']",[]
201017karola,bro,[],[]
gianmariapolon,limone,[],[]
nicolasecci11,si deve fare una vita,['subscriber'],[]
ennio10calab__,io dopo aver bevuto,[],[]
ayoitsscece,ogni giorno lai mi spaventa sempre di più,"['subscriber', 'bits']",[]
vivosumarte,bleah,[],[]
thefnaf_fan,thefnaffan subscribed with,"['subscriber', 'premium']",[]
sedereee,o no si stano limonando,[],[]
emalacustrino,i sogni di lollo essere tipo,"['subscriber', 'premium']",[]
ornigotango_,cheer tipa robot no ma topa robot sì,['share_the_love'],[]
veronicaaa44s,apposto,"['subscriber', 'no_video']",[]
idrislacustre_,ahahhahahaahahhaahhah,['bits'],[]
tiak3819,male male,[],[]
daddilacustre,no,[],[]
ironmasck,lollo che liceo devo fare per fare la streameryoutuber,[],[]
luapazzaincu,sei un razzista,[],[]
narcas00,quando gta,[],[]
itss_ilary,basta reel,"['subscriber', 'premium']",[]
checco_incid3nze,beh però è figa la robot,[],[]
jessica_dislessicustre,hai fatto la scelta giusta,"['subscriber', 'bits']",[]
vincex2012,ok,[],[]
edo4rdooo,ciao,[],[]
llmirko1020,meglio soli che mal accompagnati,"['subscriber', 'premium']",[]
mattisiuum,lollo e una tipa robot prima di gta vi,['premium'],[]
silvialodd,hahahaha,"['subscriber', 'premium']",[]
zaka_2098,hahbahahahhahahhahahaha,[],[]
annapilon,oh no george,"['subscriber', 'bits']",[]
zalexofficial,si,"['subscriber', 'bits']",[]
myselfaury,quando gta,[],[]
liviabianchini27,lollo reagisci al video che ho fatto su di te su yt pls,[],[]
xxla_lacustrexx,lolloo,[],[]
della_0998,mister feaft,[],[]
star_sevior999,lollo ma ci sarai al termoli comics and games,['subscriber'],[]
saraah_metaa,ma cosa stiamo guardando sono appena entrata,[],[]
bb2birth,questo weekend fai dei meet and greet,['subscriber'],[]
mynameisgioieutumlacust17,ahahhaha,[],[]
chris382b,hahahahhahaha,[],[]
2elee_16,ciao lollo,[],[]
barsamj,ciao,[],[]
la_raccheta,mr beast in africa,[],[]
bulbytcdry,ciao bro,[],[]
enriconana,nn so chi guardare ennesimo o lollo sono tuttine due in live,[],[]
xdayd4n,ahahahah,[],[]
linganguuuuu,che nostalgia,[],[]
andrearomano012,lollo tra quanto giochi gta,[],[]
sedereee,ma cerca lollolacustre,[],[]
ll_ar4chide,lollo come posso fermare la mia gambling addiction aiutami,[],[]
ghostgirl_g59,sbaglio o quello era uno strumento di tortura,['subscriber'],[]
jessica_dislessicustre,così,"['subscriber', 'bits']",[]
its_giuu09,ahahahha,['subscriber'],[]
snaketugh,ciaoo lollo,['bits'],[]
ilgaliardo,che belli i reale di insta ieri mi e uscita una tipa con le tette di fuori,['twitch_recap_2024'],[]
vivosumarte,lo so gia,[],[]
biancalacustre,non ridere lollo,['bits'],[]
coolingpanda180,mh,['share_the_love'],[]
noe3257,la signora,[],[]
92alex2skd,niki,['subscriber'],[]
lollokingdeidiamanti,smash,['no_audio'],[]
randomguybuthappy,george droid,[],[]
greta04www,maa,['subscriber'],[]
xxsamrinaaaxx,la risata di lollo,[],[]
ana_roccia,voglio una collab,[],[]
giamhd,gg,[],[]
riccardosf,ahaha,[],[]
coolingpanda180,lil blud,['share_the_love'],[]
vincex2012,poi avrà altre richistre,[],[]
iuser_mil,oioi,[],[]
piedino_fatato_di_lollo,lollo vieni a brescia,['share_the_love'],[]
sofiachirchio201948,ciao lollo,[],[]
justcrushop,ahhahahha,[],[]
llcami12,yo lollo,[],[]
willacustre,ti prego giocaci,['no_video'],[]
gghtp9,cosa ridi,"['subscriber', 'premium']",[]
giuleutummm,siamo delle persone cattive aiuto ahahahhahaa,['bits'],[]
mohsdine10984,poverino,['twitch_recap_2024'],[]
lizard2317,hey,[],[]
simplygaiaa,ahhahhahha,['hype_train'],[]
star_sevior999,hahahshd che carino però,['subscriber'],[]
greta04www,ma povero dai,['subscriber'],[]
alfryx8888,lollo ma che caa,[],[]
veronicaaa44s,ma tipo,"['subscriber', 'no_video']",[]
itss_ilary,tipo,"['subscriber', 'premium']",[]
iamgabriele2010,yo,[],[]
annina_17,lollo a che ora minecraft,[],[]
andrea264791,ciao,[],[]
jessica_dislessicustre,ora lollo che facciamo mh minecraft tipo,"['subscriber', 'bits']",[]
simplygaiaa,porello,['hype_train'],[]
emmaxlollo_,ahahha,"['subscriber', 'bits']",[]
giovax1405,povero,['no_audio'],[]
lianjuve,ciao,[],[]
myselfaury,che carino,[],[]
92alex2skd,yo,['subscriber'],[]
daav8oo,che fai,[],[]
fazelacustre,lets go lollo,[],[]
itss_ilary,ma tipo tipo,"['subscriber', 'premium']",[]
gghtp9,dai insensibile,"['subscriber', 'premium']",[]
bazzsebayt,il bro che bulliza il bro,[],[]
chris382b,hell nah,[],[]
thetrio_jessica,fra,[],[]
ll_lacustrina01,lollo negli account seguiti si intravede il tuo acc segreto,['share_the_love'],[]
ricasoaosoao,ciao lollo come stai,['no_video'],[]
sareutum__23,ma che carino dai,['premium'],[]
alessio_lombardo,ciao lollo,[],[]
ieusun,lollo non posso neanche avere la tipa di prima pk non me la posso permettere,[],[]
92alex2skd,scrivi bo,['subscriber'],[]
linganguuuuu,porino,[],[]
eragon_4567,gotta go bye lollo,[],[]
andrearomano012,tra quanto giochi a sta,[],[]
il_rosso1_0,ciao,[],[]
jxxhxney,ciao lollo come stai,"['subscriber', 'bits']",[]
bb2birth,questo weekend fai dei meet and greet,['subscriber'],[]
star_sevior999,lollo ma ci sarai al termoli comics and games,['subscriber'],[]
greta04www,rip lui,['subscriber'],[]
campani_ttv,non si bullizza bro,[],[]
xxsamrinaaaxx,giocate a roulette russa,[],[]
goku847656,hahahahhaha tipo,[],[]
ana_roccia,daii gioca voglio la collab,[],[]
executore09,lollo non farlo,['no_video'],[]
peppone012,fra ma perché sembra così serio,['bits'],[]
li9_pro,ciao,[],[]
ordnaelll2015,lollo mi,[],[]
giuu2103,ha messo il video in x perché sapeva che non lo avresti visto tutto se durava troppo,[],[]
piedino_fatato_di_lollo,mi sembra ovvio,['share_the_love'],[]
alii_003667,progres,[],[]
analacustre,dai per almeno è stato gentile,['subscriber'],[]
vivosumarte,bro non ridere,[],[]
xdayd4n,ciao,[],[]
tommino1038,ciao lollo,[],[]
marc0linoz,we,[],[]
noe3257,ti taggo lollo ti o taggato,[],[]
dadda2014,lollo dai inizia a giocare a minecraft,[],[]
4ns32mo,lollo non dovevi fare un video di tuffi con torquato testa,['subscriber'],[]
pippomax2013,il bro pensa di voler giocare con lollolillustre,[],[]
vincex2012,lollo ho un idea la vuoi,[],[]
willacustre,ti prego giocaci,['no_video'],[]
giady19_00,poverino,[],[]
yas_ladede,ciao,[],[]
ciaoooo62882,apro la chat di tiktol,[],[]
mynameisgioieutumlacust17,allo,[],[]
silvialodd,dai ma che tatoo,"['subscriber', 'premium']",[]
cyberpwnked,dai è disponibile,"['subscriber', 'bits']",[]
neymar__f0rever33,lollo domani gifto sun se lo fai,[],[]
iuser_mil,cacca,[],[]
zampe_di_velluto1,halo,[],[]
tbl_ang3l,ciao,[],[]
itss_ilary,ma dai,"['subscriber', 'premium']",[]
chris382b,hell nah,[],[]
emalacustrino,ahahahahahahhah no,"['subscriber', 'premium']",[]
annina_17,crazy,[],[]
jessica_dislessicustre,preparati le sirene,"['subscriber', 'bits']",[]
campani_ttv,hahahaha,[],[]
ordnaelll2015,lollo,[],[]
star_sevior999,poverina bro dai,['subscriber'],[]
sareutum__23,bonoo,['premium'],[]
tr3m0n3___44,ma dai povera dalle del tempo,[],[]
eqwaak2013,no,['subscriber'],[]
m1r14m0204,smash,['subscriber'],[]
vincex2012,ahababhahahahal,[],[]
xdayd4n,che bello che sei,[],[]
linganguuuuu,perché ti voleva fare vedere la patata,[],[]
myselfaury,il pile,[],[]
itss_ilary,habababahha,"['subscriber', 'premium']",[]
la_eva_05,laeva subscribed with theyve subscribed for months ciaoo lollo come stai,"['subscriber', 'premium']",[]
mattisiuum,crazy,['premium'],[]
giulixixixixi,il guru,[],[]
lolloshef,lollo se non posso guardare gta devo staccare oppure posso guardare perché secondo te è adatto per tutti i tuoi fan,[],[]
narcas00,mi dispiace lollo io devo andare,[],[]
bb2birth,questo weekend fai dei meet and greet,['subscriber'],[]
bulbytcdry,bruh,[],[]
cvsmixnoe,che bel momento per entrare,['share_the_love'],[]
vincenzo2011_rocket,questo è il ballo del maturo,[],[]
ricasoaosoao,che cappellino selvatico,['no_video'],[]
eqwaak2013,ciao lollo,['subscriber'],[]
dania_lacustre17,io non penso che te lo aspetti ma ho anni ma faccio fatica a socializzare e stare in chat mi fa stare bene,"['subscriber', 'share_the_love']",[]
coolingpanda180,la maglia di hmble ti dona,['share_the_love'],[]
vivosumarte,super muscole power,[],[]
sofycala,ciao lollone,[],[]
guidoferrero2012,ciao lollo,[],[]
supergio13,lollo hamble o totem,['subscriber'],[]
mar1o__x,marox subscribed with theyve subscribed for months sera lollo,"['subscriber', 'premium']",[]
mynameisgioieutumlacust17,hahhahahah,[],[]
bignickzx,sta sera horror mod,"['subscriber', 'premium']",[]
star_sevior999,lollo ma ci sarai al termoli comics and games,['subscriber'],[]
executore09,vieni a padova,['no_video'],[]
peppone012,lollo hittaci sta perla del giorno,['bits'],[]
iamgabriele2010,fi,[],[]
alfryx8888,lollo ma quando,[],[]
annina_17,hell nahh,[],[]
chapeauuu_,chapeau subscribed with,"['subscriber', 'premium']",[]
ireeeeee_lacustree,cheer erano i cuscini e i portachiavi,"['subscriber', 'share_the_love']",[]
itss_ilary,la pelata,"['subscriber', 'premium']",[]
ide_ventaqa,hahahah,[],[]
lasgregre,lollo hai lo testa deformata,[],[]
chris382b,stasera fai anche minecraft,[],[]
dadda2014,lollo dai vieni inizia a fare minecraft,[],[]
letiinter,umiliato,[],[]
coolingpanda180,ahahah,['share_the_love'],[]
auroreutum011,lollo domani ho lesame di italiano,[],[]
xxsamrinaaaxx,ahahaahah adoro,[],[]
danifloris18,ciao kiwi migliore ditalia,[],[]
cloeutm_lacustre17,lollo ti amo,[],[]
crixo11,hahahah,[],[]
bh_bruno,bella lollone,"['subscriber', 'premium']",[]
fillo_bruhh,ciao lollo sono all ospedale in ricovero perché mi sono appena operato ai piedi ma comunque cè sempre tempo per la tua live,[],[]
il_rosso1_0,voglio succhiartelo,[],[]
linganguuuuu,perché ti stavo facendo vedere i meloni,[],[]
vincex2012,ma li hai mai avuti prima di ora i capelliv,[],[]
liviabianchini27,llollo reagisci al video che ti fatto su yt pls,[],[]
iuser_mil,ma sei entrato veramente nei maturità,[],[]
dania_lacustre17,che belle che sono,"['subscriber', 'share_the_love']",[]
veronicaaa44s,oddio,"['subscriber', 'no_video']",[]
steffo2312,ciao lollo,[],[]
ricasoaosoao,ma quindi te li lasci o ti fai di nuovo pelato,['no_video'],[]
ana_roccia,fallo anche tu,[],[]
k4nade_,sembrano luoghi diversi,['share_the_love'],[]
jessica_dislessicustre,che grandi,"['subscriber', 'bits']",[]
alessiachef_,che bellezze smash,['bits'],[]
iamgabriele2010,fai minecraft horror ti prego,[],[]
executore09,essere pelati a venti anni è uno stato mentale,['no_video'],[]
roxy_sksk,roxysksk subscribed with,"['subscriber', 'premium']",[]
campani_ttv,yooi,[],[]
bb2birth,questo weekend fai dei meet and greet,['subscriber'],[]
simonefine1,ciao,[],[]
alfryx8888,lollo ma che ca,[],[]
silvialodd,che figo,"['subscriber', 'premium']",[]
nicoippo127,cheer yo lollo mi sei mancato come stai hai dormito,['bits'],[]
emalacustrino,che figo,"['subscriber', 'premium']",[]
chiaretta03__,hit,"['subscriber', 'premium']",[]
veronicaaa44s,favij,"['subscriber', 'no_video']",[]
emmaxlollo_,me,"['subscriber', 'bits']",[]
johnporkjr21,sono confuso,[],[]
piedino_fatato_di_lollo,io,['share_the_love'],[]
peppone012,con me,['bits'],[]
jessica_dislessicustre,con te stesso,"['subscriber', 'bits']",[]
lucacutv12,io,[],[]
biancalacustre,che figo,['bits'],[]
luigi17____,sono confuso,[],[]
giulixixixixi,favij,[],[]
ricc101yt,con lore,[],[]
star_sevior999,lollo ma ci sarai al termoli comics and games,['subscriber'],[]
hwang_er,con favi,[],[]
kezyttv,favij,['twitch_recap_2024'],[]
xxsamrinaaaxx,fallo con me con me,[],[]
mynameisgioieutumlacust17,ti baciamo il logo gmail,[],[]
ll_lacustrina01,con lisa,['share_the_love'],[]
ennio10calab__,con lore,[],[]
callmeelaa,fallo con favi,['subscriber'],[]
fritelaaggiustatutto,non dovevi andare su gta,[],[]
li9_pro,ciao,[],[]
ribelle123,lolo,[],[]
txt_52019,hahahah,['twitch_recap_2024'],[]
la_raccheta,sembrerebbe un posto diverso,[],[]
anastasia_ciarlettaa,noi,['subscriber'],[]
saraah_metaa,lollo ti piacciono i maranza,[],[]
only_lucyyy,wagnu,[],[]
itss_ilary,con favi,"['subscriber', 'premium']",[]
giovax1405,hahahahahhahahahhahah,['no_audio'],[]
la_sophiiii,lollo non riesco a togliere la chat e non vedo nulla,[],[]
francesco2837377,ciao lollo,['subscriber'],[]
sonofrancorosa,con favij,['premium'],[]
ilarrja,ilre,"['moderator', 'share_the_love']",[]
adriankiller_1990,con mi mi,[],[]
gozy_fn,con favi,[],[]
ilarrja,ilre,"['moderator', 'share_the_love']",[]
er_godzilla21,favij,[],[]
rache_utum,hit,['no_video'],[]
raul_bova_lacustre,wuajnu,[],[]
annina_17,yoofallo con me,[],[]
ggnt010,sweg,[],[]
falco_re,con favi,['subscriber'],[]
ll_ar4chide,wagnù,[],[]
pingu2514,lollo lilustre,[],[]
giorgyx12,sono confusa,[],[]
gianmariapolon,mi fai vedere la pelata,[],[]
morwaad,lollo oggi giochi a super mario,[],[]
ordnaelll2015,lollo sei il migliore,[],[]
tr3m0n3___44,quando giochi a gta,[],[]
silver_13416,hahahahahahaha,[],[]
jessica_dislessicustre,ahahah,"['subscriber', 'bits']",[]
vivosumarte,lollo ma stanotte dormi,[],[]
alessiodepi2013,gioc a gta,[],[]
eqwaak2013,ci sta,['subscriber'],[]
myselfaury,pubblicherai su yt un video di gta,[],[]
auror4lacustre,con me,[],[]
gegebrigno,we lollo,[],[]
dania_lacustre17,hell nah,"['subscriber', 'share_the_love']",[]
jessica_dislessicustre,e invece,"['subscriber', 'bits']",[]
veronicaaa44s,ah ok,"['subscriber', 'no_video']",[]
its_giuu09,no allora,['subscriber'],[]
bh_bruno,yo,"['subscriber', 'premium']",[]
itss_ilary,e nient,"['subscriber', 'premium']",[]
luffybensjs,quando hai dormito chill,[],[]
mikhail05mma,rip,['subscriber'],[]
silvialodd,hahahahhaahhaha,"['subscriber', 'premium']",[]
letiinter,yo la maio,[],[]
pixel9192,aiuto,"['subscriber', 'share_the_love']",[]
chris382b,lollo stasera fai anche minecraft,[],[]
k4nade_,na,['share_the_love'],[]
martinicadeicaraibi18,hai recuperato ore di sono,[],[]
alfryx8888,sta pubblicità di merdaa,[],[]
executore09,ah,['no_video'],[]
gine_mel64,hehahahaahahahahaha,[],[]
francix_96,haahahahahahaahah,[],[]
biancalacustre,aiuto,['bits'],[]
ilduro_lacustre,what the hel,[],[]
xxla_lacustrexx,che cringee,[],[]
perla_138,onesto,[],[]
lizard2317,come stai,[],[]
sofi78943,hahahahah,[],[]
ricasoaosoao,eh,['no_video'],[]
thatoneskeleton12,ayy cosa mi sono perso,"['subscriber', 'premium']",[]
xxsamrinaaaxx,ma hai visto il video di ender,[],[]
alylacustre,swag,['subscriber'],[]
kevin141212,lollo su gta prima di gta,[],[]
thetrio_jessica,ti amo,[],[]
x2dedaaa,yo bella lollo,[],[]
ll_liamm,maa,[],[]
tunder4774,lollo ma nn si doveva portare gta,[],[]
ana_roccia,io come loro,[],[]
la_raccheta,beccati in k,[],[]
ale_fiesoli08,yo,[],[]
iamsuperit,hahahahaah,[],[]
gozy_fn,con favi,[],[]
itss_ilary,fr,"['subscriber', 'premium']",[]
banana123hdjsbjjnsknncnj,fra quanto minecraft,[],[]
giuliacondorelli,ciao lollo,[],[]
dome1209yt,ma gta,[],[]
alethegame_12,lollo lo sapevi che la tua stemoia sembra la cola dei porcellini dindia,[],[]
linganguuuuu,siete solo amici,[],[]
mynameisgioieutumlacust17,hahahhaah,[],[]
ninja_leo12345,lollo che ne pensi di giocare a skribblio in live con gli iscritti,[],[]
francesco2837377,lorenzlolloclap,['subscriber'],[]
lucacutv12,oggi nn mi sto addormentando good boy,[],[]
scaraboy_,scaraboy subscribed with,"['subscriber', 'premium']",[]
jessica_dislessicustre,ahahahahah come gode,"['subscriber', 'bits']",[]
yas_ladede,ciao lollo,[],[]
speppeperoni,cerca grox su tik tok fidati lollo,[],[]
lasgregre,lollo hai lo testa deformata,[],[]
silvialodd,haha,"['subscriber', 'premium']",[]
danifloris18,hahahahaah,[],[]
vivosumarte,lollo ma ti piace,[],[]
sha_x777,sirena,[],[]
alfryx8888,o lollo ma gta,[],[]
musalove80,ciao a tutti,[],[]
mikhail05mma,hahahaha,['subscriber'],[]
jessica_dislessicustre,ahahahahah,"['subscriber', 'bits']",[]
ay4_nx,ricaricalo,"['subscriber', 'bits']",[]
ay4_nx,porcozi,"['subscriber', 'bits']",[]
ale89399,ma ep di hello neighbor,[],[]
t0xic_sh4dow012,diddy allert,[],[]
star_sevior999,lollo ma ci sarai al termoli comics and games,['subscriber'],[]
piedino_fatato_di_lollo,lollo vieni a brescia,['share_the_love'],[]
bb2birth,questo weekend fai dei meet and greet,['subscriber'],[]
pingu2514,lollo lilustre,[],[]
pizzapastabs,xiaopolizia xiaopoliziablu,[],[]
khadija313,policees,['subscriber'],[]
ana_roccia,youtube secondo me è peggio,[],[]
giu132,giu subscribed with theyve subscribed for months sera lollo ieri io mio fratello ci siamo comprati la swich sono felicissimo,"['subscriber', 'premium']",[]
ll_ar4chide,lollo come posso fermare la mia gambling addiction aiutami,[],[]
ordnaelll2015,sei un kiwi,[],[]
ay4_nx,ricaricaloo,"['subscriber', 'bits']",[]
emmaxlollo_,povera aya,"['subscriber', 'bits']",[]
raul_bova_lacustre,wuajnu con chi devo farlo,[],[]
gojo3572,lollo qual è la tua frutta preferita,[],[]
linganguuuuu,ora ti vengo sotto casa tua e ti vendo cinque bambini a,[],[]
ay4_nx,daeei,"['subscriber', 'bits']",[]
matti26012013,essere pelati a ventanni è uno stato mentale,[],[]
dania_lacustre17,sei molto bella geniuino,"['subscriber', 'share_the_love']",[]
nanacos__,help ahah quei video fatti con ai mi fanno morire,[],[]
lindosky_,lollo é il mio mood,[],[]
ricasoaosoao,sei un kiwi,['no_video'],[]
ricc101yt,come fa,[],[]
ay4_nx,ricarica,"['subscriber', 'bits']",[]
brisingr_100,wtf,['subtember_2024'],[]
ginss_,ciao lollo,[],[]
veronicaaa44s,ma,"['subscriber', 'no_video']",[]
ay4_nx,diglielo,"['subscriber', 'bits']",[]
danipino_pallepelose,sei il mio youtuber preferito,[],[]
ilduro_lacustre,scaraboy hacker,[],[]
lorenzoboss2,ciao lollo,[],[]
silvialodd,ahhaahaha,"['subscriber', 'premium']",[]
201017karola,sirena,[],[]
sha_x777,ahahahahaha,[],[]
kevin141212,lollo su gta prima di gta,[],[]
itss_ilary,no vabbe,"['subscriber', 'premium']",[]
ericuz11,lollo sei gay,['share_the_love'],[]
simplygaiaa,oddio,['hype_train'],[]
tunder4774,lollo la cat di tic tok,[],[]
savega234,lollo su gta v prima che esca la nuova optifine,[],[]
ilibridi_iris,hahahah,['subscriber'],[]
bh_bruno,yoo,"['subscriber', 'premium']",[]
letiinter,no way,[],[]
zaiedfiras,ciao,[],[]
xxsamrinaaaxx,scaraboy not good,[],[]
hwang_er,hahah,[],[]
ironmasck,lollo che liceo devo fare per fare la streameryoutuber,[],[]
pixel9192,wth,"['subscriber', 'share_the_love']",[]
er_kiwi07,lollo ma sei gay,['premium'],[]
ay4_nx,lo puo cancellare e rifare,"['subscriber', 'bits']",[]
star_sevior999,aiuto,['subscriber'],[]
ll_liamm,lollo ho dei bambini nella mia cantina di lusso,[],[]
francesco2837377,yo ciao lollo,['subscriber'],[]
francix_96,ahahahhahaha,[],[]
jessica_dislessicustre,ma come ha fatto,"['subscriber', 'bits']",[]
silvialodd,wtf,"['subscriber', 'premium']",[]
only_lucyyy,hahahah,[],[]
simplygaiaa,scaraboy,['hype_train'],[]
maioneseblu006,il bro,[],[]
chris382b,viva scaraboy,[],[]
giorgioinos,giorgioinos subscribed with,"['subscriber', 'premium']",[]
ay4_nx,ricarica il video,"['subscriber', 'bits']",[]
dome1209yt,ma gta,[],[]
scaraboy_,ciao lollo,"['subscriber', 'premium']",[]
mynameisgioieutumlacust17,what,[],[]
eli_y11,cristo santo mi è appena esploso un creeper in casa,['subscriber'],[]
ay4_nx,dai,"['subscriber', 'bits']",[]
morwaad,lollo oggi giochi a super mario,[],[]
atlante23,wtf,[],[]
alterele,quanto è caldo,"['moderator', 'minecraft_15th_anniversary_celebration']",[]
t0xic_sh4dow012,il bto è di un altro mondo,[],[]
khadija313,no way,['subscriber'],[]
banana123hdjsbjjnsknncnj,fra quanto minecraft,[],[]
gre_gru,lollo ti prego leggi il messaggio che ti ho mandato su ig plls,[],[]
piedino_fatato_di_lollo,schizzofrenia sicuro,['share_the_love'],[]
mayaaadrago,ciao lollo,[],[]
pasquilight_official,fratè cè marza in live facci un salto,[],[]
thetrio_jessica,minchia,[],[]
fjbdtkmdd,lollo puoi reactare al rap cinese,[],[]
endos3ven,endosven subscribed with theyve subscribed for months,"['subscriber', 'twitch_recap_2023']",[]
la_raccheta,il nuovo hacker di twitch,[],[]
therealmarcoz,therealmarcoz subscribed with,['subscriber'],[]
vivosumarte,wqit a minute,[],[]
loreutum_lacustre,lollo,[],[]
ll_ar4chide,scaraboy scaramouche,[],[]
chri_trav,ciao lollo,[],[]
star_sevior999,lollo ma ci sarai al termoli comics and games,['subscriber'],[]
emmaunic2013,insta,[],[]
dania_lacustre17,sei molto bella geniuino,"['subscriber', 'share_the_love']",[]
dania_lacustre17,adhd,"['subscriber', 'share_the_love']",[]
veronicaaa44s,bellissimo,"['subscriber', 'no_video']",[]
ricasoaosoao,ma giochi ancora a minecraft,['no_video'],[]
anaa23333,adoro,[],[]
jessica_dislessicustre,i video preferiti di lollo,"['subscriber', 'bits']",[]
scaraboy_,il mio amore per te è tre volte quante sono le sub,"['subscriber', 'premium']",[]
alethegame_12,lollo lo sapevi che la tua stempia è uguale alla ciola dei porcellini dindia,[],[]
andrea__0010,lollo ma non è la sirena della polizia quella è dellambulanza,[],[]
ll_the_sneaky,yo,[],[]
linganguuuuu,orgasmo,[],[]
campani_ttv,mandi un saluta alla mia ninaciara,[],[]
star_sevior999,ahhajshshsh,['subscriber'],[]
jessica_dislessicustre,ahahahahah,"['subscriber', 'bits']",[]
simplygaiaa,maa,['hype_train'],[]
sushidushj,gta v,[],[]
annina_17,scaraboy crazyy,[],[]
only_lucyyy,smash,[],[]
gabbone011,ciao,[],[]
chapeauuu_,lollouu,"['subscriber', 'premium']",[]
xxsamrinaaaxx,guarda il suo profilok,[],[]
khadija313,no il pulcino rosa,['subscriber'],[]
ilduro_lacustre,scaraboy ha le hack in real life,[],[]
maioneseblu006,il bro è avanti,[],[]
mynameisgioieutumlacust17,quante volte l hai utilizzato quell audio mamma,[],[]
lindosky_,jahhahahs,[],[]
kya_its_tizia,hahahahaha,[],[]
pippomax2013,lollo quando vieni a napoli,[],[]
er_kiwi07,lollo,['premium'],[]
atlante23,ma che cavolo,[],[]
sareutum__23,crazyy,['premium'],[]
itss_ilary,hahahahahah,"['subscriber', 'premium']",[]
gre_gru,lollo ti prego leggi il mio messaggio ig pls,[],[]
tantisiluri98,cè twitch che è in palla da qualche ora,['premium'],[]
gozy_fn,a che ora gta,[],[]
gabr_i08_,sub,['premium'],[]
guidoferrero2012,diventato hacker prima di gta,[],[]
ninja_leo12345,il bro usa i suoi altri account,[],[]
giovax1405,rispondi,['no_audio'],[]
kezyttv,volte,['twitch_recap_2024'],[]
executore09,stiamo volando,['no_video'],[]
eqwaak2013,ha più account,['subscriber'],[]
hwang_er,volte,[],[]
pasquilight_official,fai volte lollo,[],[]
jessica_dislessicustre,ma lavora con gli hacker,"['subscriber', 'bits']",[]
callmeelaa,scaraboy è crazy,['subscriber'],[]
ordnaelll2015,scaraboy,[],[]
t0xic_sh4dow012,il bro è lessere perfetto,[],[]
ale89399,scaroboy hacker stacca stacca,[],[]
giuu2103,gli abbonamenti di scaraboy sono le mie personalità,[],[]
biancalacustre,lollo ti voglio un mondo di bene,['bits'],[]
darth_padella,che cacchio fa quello,[],[]
niloooo_rw,lollo sono andato live a cantare puoi andare a vedere il video su ig mi chiamo reallr,[],[]
itss_ilary,oddio di nuovo,"['subscriber', 'premium']",[]
ginnypentola,fra è da poco che ho la switch poco fa,[],[]
puspus_89,che cz,[],[]
bb2birth,questo weekend fai dei meet and greet,['subscriber'],[]
ll_ar4chide,lollo come posso fermare la mia gambling addiction aiutami,[],[]
curlyfox_23,volte,['premium'],[]
dado0713,oh ne o nah,[],[]
babymon_asa,ciao,[],[]
mo0n_waffles,grande scaraboy,[],[]
varischettisister,come va lollo,[],[]
mattisiuum,mi sono abbonato con ma non mi è apparso,"['subscriber', 'premium']",[]
